;full_name;Tm;GS;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;Opp;POS;code
4297;John Wall;hou;0.0;26.0;0.0;2.0;31.0;14.0;2.0;1.0;0.3604865571772081;chi;PG;PGhou0.0
4298;John Wall;hou;0.0;34.5;0.0;2.0;31.0;21.0;2.5;0.5;0.3604865571772081;cle;PG;PGhou0.0
4299;John Wall;hou;0.0;29.0;0.0;2.0;31.0;14.0;1.3333333333333333;1.0;0.3604865571772081;dal;PG;PGhou0.0
4300;John Wall;hou;0.0;28.0;0.0;2.0;31.0;8.0;7.0;1.0;0.3604865571772081;den;PG;PGhou0.0
4301;John Wall;hou;0.0;28.0;0.0;2.0;31.0;16.0;6.0;3.0;0.3604865571772081;det;PG;PGhou0.0
4302;John Wall;hou;0.0;36.0;0.0;2.0;31.0;19.0;6.0;0.0;0.3604865571772081;gs;PG;PGhou0.0
4303;John Wall;hou;0.0;36.0;0.0;2.0;31.0;24.0;4.0;1.5;0.3604865571772081;ind;PG;PGhou0.0
4304;John Wall;hou;0.0;39.0;0.0;2.0;31.0;22.0;4.0;2.0;0.3604865571772081;lac;PG;PGhou0.0
4305;John Wall;hou;0.0;31.5;0.0;2.0;31.0;12.5;3.5;1.5;0.3604865571772081;lal;PG;PGhou0.0
4306;John Wall;hou;0.0;28.66666666666667;0.0;2.0;31.0;15.0;5.333333333333333;0.3333333333333333;0.3604865571772081;mem;PG;PGhou0.0
4307;John Wall;hou;0.0;30.0;0.0;2.0;31.0;17.5;2.5;3.0;0.3604865571772081;no;PG;PGhou0.0
4308;John Wall;hou;0.0;30.0;0.0;2.0;31.0;20.0;2.0;0.0;0.3604865571772081;ny;PG;PGhou0.0
4309;John Wall;hou;0.0;28.0;0.0;2.0;31.0;15.0;3.0;1.0;0.3604865571772081;okc;PG;PGhou0.0
4310;John Wall;hou;0.0;28.0;0.0;2.0;31.0;11.0;0.0;3.0;0.3604865571772081;orl;PG;PGhou0.0
4311;John Wall;hou;0.0;35.0;0.0;2.0;31.0;20.0;5.0;2.0;0.3604865571772081;pho;PG;PGhou0.0
4312;John Wall;hou;0.0;29.0;0.0;2.0;31.0;16.0;2.0;0.0;0.3604865571772081;por;PG;PGhou0.0
4313;John Wall;hou;0.0;36.5;0.0;2.0;31.0;21.0;5.0;0.0;0.3604865571772081;sac;PG;PGhou0.0
4314;John Wall;hou;0.0;32.0;0.0;2.0;31.0;19.0;2.0;3.0;0.3604865571772081;sa;PG;PGhou0.0
4315;John Wall;hou;0.0;36.0;0.0;2.0;31.0;25.5;2.5;1.0;0.3604865571772081;tor;PG;PGhou0.0
4316;John Wall;hou;0.0;29.0;0.0;2.0;31.0;19.0;3.0;0.0;0.3604865571772081;utah;PG;PGhou0.0
4317;John Wall;hou;0.0;29.0;0.0;2.0;31.0;23.5;4.0;1.0;0.3604865571772081;wsh;PG;PGhou0.0
4318;Jonas Valanciunas;no;1.0;28.5;0.0;0.0;29.0;10.5;2.5;2.0;0.7787389410436001;bos;C;Cno1.0
4319;Jonas Valanciunas;no;1.0;26.0;0.0;0.0;29.0;8.0;1.0;2.0;0.7787389410436001;bkn;C;Cno1.0
4320;Jonas Valanciunas;no;1.0;32.5;0.0;0.0;29.0;12.0;1.0;2.0;0.7787389410436001;chi;C;Cno1.0
4321;Jonas Valanciunas;no;1.0;28.0;0.0;0.0;29.0;13.0;2.0;0.0;0.7787389410436001;cha;C;Cno1.0
4322;Jonas Valanciunas;no;1.0;28.0;0.0;0.0;29.0;10.5;2.5;5.0;0.7787389410436001;cle;C;Cno1.0
4323;Jonas Valanciunas;no;1.0;30.5;0.0;0.0;29.0;15.5;2.5;4.0;0.7787389410436001;dal;C;Cno1.0
4324;Jonas Valanciunas;no;1.0;29.5;0.0;0.0;29.0;9.5;2.0;2.5;0.7787389410436001;den;C;Cno1.0
4325;Jonas Valanciunas;no;1.0;30.0;0.0;0.0;29.5;13.0;2.5;2.5;0.7787389410436001;det;C;Cno1.0
4326;Jonas Valanciunas;no;1.0;30.0;0.0;0.0;29.5;11.0;1.5;1.5;0.7787389410436001;gs;C;Cno1.0
4327;Jonas Valanciunas;no;1.0;28.0;0.0;0.0;29.0;15.5;0.0;1.0;0.7787389410436001;lac;C;Cno1.0
4328;Jonas Valanciunas;no;1.0;27.66666666666667;0.0;0.0;29.0;13.333333333333336;3.0;3.333333333333333;0.7787389410436001;lal;C;Cno1.0
4329;Jonas Valanciunas;no;1.0;25.0;0.0;0.0;29.0;7.0;1.5;2.5;0.7787389410436001;mia;C;Cno1.0
4330;Jonas Valanciunas;no;1.0;26.0;0.0;0.0;29.0;13.0;2.0;0.5;0.7787389410436001;mil;C;Cno1.0
4331;Jonas Valanciunas;no;1.0;23.66666666666667;0.0;0.0;29.0;13.333333333333336;0.3333333333333333;5.333333333333333;0.7787389410436001;min;C;Cno1.0
4332;Jonas Valanciunas;no;1.0;26.33333333333333;0.0;0.0;29.33333333333333;11.333333333333336;1.0;2.333333333333333;0.7787389410436001;no;C;Cno1.0
4333;Jonas Valanciunas;no;1.0;34.5;0.0;0.0;29.0;9.5;2.0;1.5;0.7787389410436001;ny;C;Cno1.0
4334;Jonas Valanciunas;no;1.0;27.66666666666667;0.0;0.0;29.0;12.0;1.3333333333333333;3.333333333333333;0.7787389410436001;okc;C;Cno1.0
4335;Jonas Valanciunas;no;1.0;28.0;0.0;0.0;29.0;9.0;1.5;3.5;0.7787389410436001;orl;C;Cno1.0
4336;Jonas Valanciunas;no;1.0;20.0;0.0;0.0;29.0;6.0;1.0;5.0;0.7787389410436001;phi;C;Cno1.0
4337;Jonas Valanciunas;no;1.0;25.5;0.0;0.0;29.0;11.5;1.5;2.5;0.7787389410436001;pho;C;Cno1.0
4338;Jonas Valanciunas;no;1.0;27.0;0.0;0.0;29.0;15.0;0.5;2.5;0.7787389410436001;por;C;Cno1.0
4339;Jonas Valanciunas;no;1.0;29.5;0.0;0.0;29.5;12.0;1.5;1.5;0.7787389410436001;sac;C;Cno1.0
4340;Jonas Valanciunas;no;1.0;36.0;0.0;0.0;30.0;15.0;2.0;5.0;0.7787389410436001;tor;C;Cno1.0
4341;Jonas Valanciunas;no;1.0;26.66666666666667;0.0;0.0;29.0;13.666666666666664;1.3333333333333333;3.6666666666666665;0.7787389410436001;utah;C;Cno1.0
4342;Jonas Valanciunas;no;1.0;30.0;0.0;0.0;29.0;16.0;2.0;4.0;0.7787389410436001;wsh;C;Cno1.0
4343;Jordan Clarkson;utah;0.0;26.0;2.0;1.0;29.0;15.0;3.0;2.0;0.28221569345200903;atl;PG;PGutah0.0
4344;Jordan Clarkson;utah;0.0;28.5;2.0;1.0;29.0;15.5;1.5;1.5;0.28221569345200903;bos;PG;PGutah0.0
4345;Jordan Clarkson;utah;0.0;23.5;2.0;1.0;29.0;14.5;1.5;2.0;0.28221569345200903;chi;PG;PGutah0.0
4346;Jordan Clarkson;utah;0.0;27.66666666666667;2.0;1.0;29.0;16.666666666666668;2.0;2.0;0.28221569345200903;dal;PG;PGutah0.0
4347;Jordan Clarkson;utah;0.0;30.33333333333333;2.0;1.0;29.0;15.333333333333336;0.6666666666666666;2.0;0.28221569345200903;den;PG;PGutah0.0
4348;Jordan Clarkson;utah;0.0;25.0;2.0;1.0;29.0;15.0;2.0;1.0;0.28221569345200903;det;PG;PGutah0.0
4349;Jordan Clarkson;utah;0.0;28.0;2.0;1.0;29.0;18.0;1.0;1.0;0.28221569345200903;hou;PG;PGutah0.0
4350;Jordan Clarkson;utah;0.0;28.5;2.0;1.0;29.0;18.0;1.5;1.5;0.28221569345200903;ind;PG;PGutah0.0
4351;Jordan Clarkson;utah;0.0;24.0;2.0;1.0;29.0;12.0;1.5;1.0;0.28221569345200903;lac;PG;PGutah0.0
4352;Jordan Clarkson;utah;0.0;46.0;2.0;1.0;29.0;27.0;2.0;3.0;0.28221569345200903;lal;PG;PGutah0.0
4353;Jordan Clarkson;utah;0.0;26.33333333333333;2.0;1.0;29.0;18.666666666666668;1.3333333333333333;1.6666666666666667;0.28221569345200903;mem;PG;PGutah0.0
4354;Jordan Clarkson;utah;0.0;25.5;2.0;1.0;29.0;16.0;1.5;2.0;0.28221569345200903;mia;PG;PGutah0.0
4355;Jordan Clarkson;utah;0.0;32.0;2.0;1.0;29.0;19.0;1.5;2.0;0.28221569345200903;mil;PG;PGutah0.0
4356;Jordan Clarkson;utah;0.0;27.0;2.0;1.0;29.0;18.0;1.5;2.5;0.28221569345200903;min;PG;PGutah0.0
4357;Jordan Clarkson;utah;0.0;26.0;2.0;1.0;29.0;15.0;1.5;1.5;0.28221569345200903;no;PG;PGutah0.0
4358;Jordan Clarkson;utah;0.0;25.0;2.0;1.0;29.0;10.0;3.0;1.0;0.28221569345200903;okc;PG;PGutah0.0
4359;Jordan Clarkson;utah;0.0;28.0;2.0;1.0;29.0;16.0;2.0;1.0;0.28221569345200903;orl;PG;PGutah0.0
4360;Jordan Clarkson;utah;0.0;29.0;2.0;1.0;29.0;20.0;2.0;0.0;0.28221569345200903;phi;PG;PGutah0.0
4361;Jordan Clarkson;utah;0.0;23.66666666666667;2.0;1.0;29.0;12.666666666666664;1.0;1.6666666666666667;0.28221569345200903;pho;PG;PGutah0.0
